      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|
REDLN |0          |0          |0          |0          |0          |0          |0          |4          |4          |4          |
DRPLN |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |
      |                                                                                                                       |
      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|
CCREQ |           |           |           |           |           |           |           |Any    Rage|Any    Rage|Any    Rage|
      |                                                                                                                       |
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|___________|___________|
SIDE  |0          |0          |0          |0          |0          |0          |20         |TOP-LEFT   |           |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |           |           |
SIDEB |9          |5          |0          |0          |0          |0          |0          |           |           |           |
      |                                                                                                                       |
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|___________|___________|
MAKE  |A          |FRONT-LEFT |10         |0          |EXT-INT    |0          |0          |           |           |           |
MAKE  |B          |FRONT-RIGHT|10         |0          |INT-EXT    |0          |0          |           |           |           |
MAKE  |V          |FRONT-RIGHT|10         |0          |EXT-INT    |0          |0          |           |           |           |
MAKE  |K          |FRONT-LEFT |10         |0          |INT-EXT    |0          |0          |           |           |           |
MAKE  |C          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |0          |           |           |           |
MAKE  |D          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |0          |           |           |           |
MAKE  |E          |FRONT-LEFT |10         |-16        |INT-EXT    |0          |0          |           |           |           |
MAKE  |F          |FRONT-RIGHT|10         |-16        |INT-EXT    |0          |0          |           |           |           |
MAKE  |H          |FRONT-RIGHT|10         |-23        |INT-EXT    |0          |0          |           |           |           |
MAKE  |M          |LEFT-FRONT |10         |0          |EXT-INT    |0          |0          |           |           |           |
MAKE  |N          |RIGHT-FRONT|10         |0          |EXT-INT    |0          |0          |           |           |           |
MAKE  |G          |LEFT-FRONT |1          |1          |IGNORE     |0          |0          |INFERNO    |           |           |
MAKE  |L          |RIGHT-FRONT|1          |1          |IGNORE     |0          |0          |INFERNO    |           |           |
MAKE  |U          |FRONT-RIGHT|1          |1          |IGNORE     |0          |0          |INFERNO    |           |           |
MAKE  |Z          |FRONT-LEFT |1          |1          |IGNORE     |0          |0          |EAGLE      |           |           |
MAKE  |P          |FRONT-LEFT |1          |1          |IGNORE     |0          |0          |TOWNHALL   |           |           |
      |                                                                                                                       |
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|___________|___________|
DROP  |A          |2          |1          |IceG       |50-70      |37-50      |500-700    |           |           |           |
DROP  |B          |10         |1          |IceG       |50-70      |37-50      |100-200    |           |           |           |
DROP  |A          |2          |3          |Witc       |50-70      |37-50      |500-700    |           |           |           |
DROP  |B          |10         |3          |Witc       |50-70      |37-50      |500-700    |           |           |           |
WAIT  |600-1200   |           |           |           |           |           |           |           |           |           |
DROP  |A          |5,9        |2          |IceG       |50-70      |37-50      |15-20      |           |           |           |
DROP  |B          |3,7        |2          |IceG       |50-70      |37-50      |500-700    |           |           |           |
DROP  |A          |7,8,9      |3          |Witc       |50-70      |37-50      |15-20      |           |           |           |
DROP  |B          |2,3        |2          |Witc       |50-70      |37-50      |100-200    |           |           |           |
DROP  |A          |4,5,7,9,10 |5          |Bowl       |50-70      |27-50      |15-20      |           |           |           |
DROP  |B          |1,2,3,4,6  |5          |Bowl       |50-70      |27-50      |90-110     |           |           |           |
DROP  |V          |8,10       |2          |Bowl       |55-70      |27-50      |15-20      |           |           |           |
DROP  |K          |1,2        |2          |Bowl       |55-70      |27-50      |150-200    |           |           |           |
DROP  |A          |8          |1          |WARDEN     |50-70      |0          |150-200    |           |           |           |
DROP  |A          |8          |1          |WallW      |0          |50-70      |100-170    |           |           |           |
DROP  |A          |8          |1          |BattleB    |0          |50-70      |100-170    |           |           |           |
DROP  |A          |8          |1          |StoneS     |0          |50-70      |100-170    |           |           |           |
DROP  |A          |8          |1          |Castle     |0          |50-70      |100-170    |           |           |           |
WAIT  |300-900    |           |           |           |           |           |           |           |           |           |
DROP  |C          |3          |1          |RSpell     |0          |0          |100-200    |           |           |           |
DROP  |D          |2          |1          |RSpell     |0          |0          |100-200    |           |           |           |
DROP  |A          |8          |1          |KING       |0          |37-50      |150-300    |           |           |           |
DROP  |A          |9          |1          |QUEEN      |0          |37-50      |150-200    |           |           |           |
WAIT  |2000-4000  |           |           |           |           |           |           |           |           |           |
DROP  |A          |9          |1          |CHAMPION   |0          |37-50      |100-200    |           |           |           |
      |                                                                                                                       |
      |--------------------------------------------------- IceBoWitch End ----------------------------------------------------|
